starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	13
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	12
Thu Sep 19 12:43:43 2024	1726731823	1	31	32	19
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	14
Thu Sep 19 12:43:43 2024	1726731823	1	31	32	19
Thu Sep 19 12:43:43 2024	1726731823	1	31	32	19
Thu Sep 19 12:43:43 2024	1726731823	1	31	32	19
Thu Sep 19 12:43:43 2024	1726731823	19	13	32	7
Thu Sep 19 12:43:43 2024	1726731823	8	25	32	17
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	12
Thu Sep 19 12:43:43 2024	1726731823	17	16	32	15
Thu Sep 19 12:43:43 2024	1726731823	14	19	32	14
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	13
Thu Sep 19 12:43:43 2024	1726731823	17	16	32	15
Thu Sep 19 12:43:43 2024	1726731823	13	20	32	12
Thu Sep 19 12:43:43 2024	1726731823	6	26	32	17
Thu Sep 19 12:43:43 2024	1726731823	9	24	32	16
Thu Sep 19 12:43:43 2024	1726731823	14	18	32	14
Thu Sep 19 12:43:43 2024	1726731823	7	25	32	15
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	14
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	12
Thu Sep 19 12:43:43 2024	1726731823	8	25	33	22
Thu Sep 19 12:43:43 2024	1726731823	19	14	33	7
Thu Sep 19 12:43:43 2024	1726731823	14	18	33	14
Thu Sep 19 12:43:43 2024	1726731823	7	25	33	15
Thu Sep 19 12:43:43 2024	1726731823	10	22	33	14
Thu Sep 19 12:43:43 2024	1726731823	6	26	33	17
Thu Sep 19 12:43:43 2024	1726731823	21	12	33	7
Thu Sep 19 12:43:43 2024	1726731823	1	32	33	19
Thu Sep 19 12:43:42 2024	1726731822	12	21	33	19
Thu Sep 19 12:43:43 2024	1726731823	1	32	33	19
Thu Sep 19 12:43:43 2024	1726731823	14	18	33	15
Thu Sep 19 12:43:43 2024	1726731823	7	25	33	15
Thu Sep 19 12:43:43 2024	1726731823	11	22	33	14
Thu Sep 19 12:43:43 2024	1726731823	17	16	33	15
Thu Sep 19 12:43:43 2024	1726731823	10	23	33	13
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	16
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	12
Thu Sep 19 12:43:43 2024	1726731823	19	14	33	7
Thu Sep 19 12:43:43 2024	1726731823	14	18	33	15
Thu Sep 19 12:43:43 2024	1726731823	17	16	33	15
Thu Sep 19 12:43:43 2024	1726731823	1	32	33	19
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	16
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	12
Thu Sep 19 12:43:43 2024	1726731823	1	32	33	19
Thu Sep 19 12:43:43 2024	1726731823	8	25	33	22
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	16
Thu Sep 19 12:43:43 2024	1726731823	11	22	33	13
Thu Sep 19 12:43:43 2024	1726731823	10	23	33	14
Thu Sep 19 12:43:43 2024	1726731823	17	16	33	15
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	12
Thu Sep 19 12:43:43 2024	1726731823	8	25	33	22
Thu Sep 19 12:43:43 2024	1726731823	19	15	33	10
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	16
Thu Sep 19 12:43:43 2024	1726731823	12	21	33	20
Thu Sep 19 12:43:43 2024	1726731823	19	14	33	7
Thu Sep 19 12:43:43 2024	1726731823	14	19	33	14
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	12
Thu Sep 19 12:43:43 2024	1726731823	15	18	33	11
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	17
Thu Sep 19 12:43:43 2024	1726731823	7	26	33	15
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	18
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	16
