starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:20 2024	1726731800	2	13	15	11
Thu Sep 19 12:43:20 2024	1726731800	3	12	15	12
Thu Sep 19 12:43:20 2024	1726731800	9	6	15	4
Thu Sep 19 12:43:20 2024	1726731800	5	11	15	9
Thu Sep 19 12:43:20 2024	1726731800	11	4	15	4
Thu Sep 19 12:43:20 2024	1726731800	0	15	15	14
Thu Sep 19 12:43:20 2024	1726731800	10	5	15	4
Thu Sep 19 12:43:20 2024	1726731800	3	13	15	12
Thu Sep 19 12:43:20 2024	1726731800	9	6	15	4
Thu Sep 19 12:43:20 2024	1726731800	5	11	15	10
Thu Sep 19 12:43:20 2024	1726731800	10	5	15	4
Thu Sep 19 12:43:20 2024	1726731800	11	4	16	4
Thu Sep 19 12:43:20 2024	1726731800	8	8	16	4
Thu Sep 19 12:43:20 2024	1726731800	10	5	16	4
Thu Sep 19 12:43:20 2024	1726731800	4	12	16	12
Thu Sep 19 12:43:20 2024	1726731800	10	5	16	4
Thu Sep 19 12:43:20 2024	1726731800	8	8	16	6
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	14
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	9
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	11
Thu Sep 19 12:43:20 2024	1726731800	10	6	16	4
Thu Sep 19 12:43:20 2024	1726731800	8	8	16	6
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	9
Thu Sep 19 12:43:20 2024	1726731800	8	8	16	6
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	8
Thu Sep 19 12:43:20 2024	1726731800	4	12	16	7
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	16
Thu Sep 19 12:43:20 2024	1726731800	3	13	16	13
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	10
Thu Sep 19 12:43:20 2024	1726731800	8	8	16	6
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	15
Thu Sep 19 12:43:20 2024	1726731800	10	6	16	4
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	8
Thu Sep 19 12:43:20 2024	1726731800	4	12	16	9
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	9
Thu Sep 19 12:43:20 2024	1726731800	5	11	16	9
Thu Sep 19 12:43:20 2024	1726731800	3	13	16	11
Thu Sep 19 12:43:20 2024	1726731800	3	13	16	13
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	14
Thu Sep 19 12:43:20 2024	1726731800	3	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	15
Thu Sep 19 12:43:20 2024	1726731800	3	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	7
Thu Sep 19 12:43:20 2024	1726731800	2	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	8
Thu Sep 19 12:43:20 2024	1726731800	2	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	14
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	14
Thu Sep 19 12:43:20 2024	1726731800	2	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	2	14	16	11
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	14
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	15
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	14
Thu Sep 19 12:43:20 2024	1726731800	0	16	16	14
Thu Sep 19 12:43:20 2024	1726731800	5	12	16	9
Thu Sep 19 12:43:20 2024	1726731800	1	15	16	7
Thu Sep 19 12:43:20 2024	1726731800	3	13	16	13
Thu Sep 19 12:43:20 2024	1726731800	4	12	16	9
Thu Sep 19 12:43:20 2024	1726731800	1	16	16	7
Thu Sep 19 12:43:20 2024	1726731800	4	13	16	12
Thu Sep 19 12:43:20 2024	1726731800	5	12	16	9
Thu Sep 19 12:43:20 2024	1726731800	4	13	16	6
